alloca : 1
call : 1713419
bitcast : 1
br : 16662319
shl : 7979041
add : 22413620
getelementptr : 8108315
store : 926985
or : 98304
icmp : 20720153
srem : 18963
sdiv : 9481
sext : 9481
trunc : 2495225
load : 7967761
add -> zext -> getelementptr -> load -> icmp : 6263832
zext -> getelementptr -> load -> icmp -> zext : 6263832
getelementptr -> load -> icmp -> zext -> add : 5482002
load -> icmp -> zext -> add -> br : 5482002
icmp -> zext -> add -> br -> add : 3136512
zext -> add -> br -> add -> icmp : 3136512
add -> br -> add -> icmp -> br : 3136512
br -> add -> icmp -> br -> icmp : 9198
icmp -> br -> icmp -> br -> shl : 6132
br -> icmp -> br -> shl -> add : 1569792
icmp -> zext -> add -> br -> ret : 781830
zext -> add -> br -> ret -> shl : 781830
add -> br -> ret -> shl -> add : 781830
br -> ret -> shl -> add -> getelementptr : 786432
ret -> shl -> add -> getelementptr -> load : 786432
shl -> add -> getelementptr -> load -> trunc : 786432
add -> getelementptr -> load -> trunc -> icmp : 786432
getelementptr -> load -> trunc -> icmp -> add : 786432
load -> trunc -> icmp -> add -> icmp : 786432
trunc -> icmp -> add -> icmp -> and : 786432
icmp -> add -> icmp -> and -> icmp : 786432
add -> icmp -> and -> icmp -> icmp : 786432
icmp -> and -> icmp -> icmp -> and : 786432
and -> icmp -> icmp -> and -> shl : 786432
icmp -> icmp -> and -> shl -> ashr : 786432
icmp -> and -> shl -> ashr -> select : 786432
and -> shl -> ashr -> select -> select : 786432
shl -> ashr -> select -> select -> store : 786432
ashr -> select -> select -> store -> add : 786432
select -> select -> store -> add -> icmp : 786432
select -> store -> add -> icmp -> br : 786432
store -> add -> icmp -> br -> trunc : 783360
add -> icmp -> br -> trunc -> call : 783360
icmp -> br -> trunc -> call -> add : 783360
icmp -> zext -> add -> br -> icmp : 1563660
zext -> add -> br -> icmp -> br : 1563660
add -> br -> icmp -> br -> shl : 781830
br -> add -> icmp -> br -> ret : 4602
add -> icmp -> br -> ret -> shl : 4602
icmp -> br -> ret -> shl -> add : 4602
br -> add -> icmp -> br -> trunc : 3066
add -> icmp -> br -> trunc -> br : 3066
icmp -> br -> trunc -> br -> trunc : 3066
add -> br -> icmp -> br -> add : 781830
getelementptr -> load -> icmp -> zext -> br : 781830
load -> icmp -> zext -> br -> icmp : 781830
icmp -> zext -> br -> icmp -> br : 781830
zext -> br -> icmp -> br -> shl : 781830
icmp -> br -> br -> shl -> trunc : 6
